code,description,url,parent_station_id,agency_ids,station_id,location_type,location,stop_id,routes,name
121,240 Crittenden Blvd.,,,['283'],,stop,"{'lat': 43.1213987962776, 'lng': -77.626063046627}",4112150,['4010578'],Helen Wood Hall
101,,,,['283'],,stop,"{'lat': 43.109801, 'lng': -77.672743}",4130786,"['4015608', '4015618']",Scottsville Shelter B
120,Intercampus Dr. (Goergen Hall),,,['283'],,stop,"{'lat': 43.1250490059442, 'lng': -77.6290362797623}",4130838,"['4010578', '4014822']",Wilmot (Southbound)
126,South Ave. @ Alexander St.,,,['283'],,stop,"{'lat': 43.1462128041891, 'lng': -77.6054292073402}",4130858,['4010578'],South & Alexander I/B
127,Monroe Ave. @ Alexander St.,,,['283'],,stop,"{'lat': 43.1485917616215, 'lng': -77.597901468752}",4130862,['4010578'],Monroe & Alexander O/B
105,Crittenden Blvd.,,,['283'],,stop,"{'lat': 43.121874, 'lng': -77.626116}",4136322,"['4004562', '4010578']",Whipple Circle
107,,,,['283'],,stop,"{'lat': 43.104704, 'lng': -77.621737}",4136330,['4004558'],Crittenden Rd.- Rustic Village IB
108,30 Corporate Woods,,,['283'],,stop,"{'lat': 43.107471, 'lng': -77.619386}",4136334,['4004558'],Corporate Woods Building 30
109,120 Corporate Woods,,,['283'],,stop,"{'lat': 43.109179, 'lng': -77.621115}",4136338,['4004558'],Corporate Woods Building 120
110,,,,['283'],,stop,"{'lat': 43.108589, 'lng': -77.621941}",4136342,['4004558'],Corporate Woods Overflow Lot
111,155 Corporate Woods,,,['283'],,stop,"{'lat': 43.107061, 'lng': -77.622115}",4136346,['4004558'],Corporate Woods Building 155
113,266 Crittenden Blvd.,,,['283'],,stop,"{'lat': 43.121437, 'lng': -77.628244}",4136354,['4004562'],MHW Lot at Bus Stop
114,320 Kendrick Rd.,,,['283'],,stop,"{'lat': 43.121272, 'lng': -77.629944}",4136358,['4004562'],Lot 1
115,295 Kendrick Rd.,,,['283'],,stop,"{'lat': 43.119742, 'lng': -77.629451}",4136362,['4004562'],Lot 11
124,Murlin Dr.,,,['283'],,stop,"{'lat': 43.1085831178609, 'lng': -77.6362527890244}",4140922,"['4010578', '4016788']",Whipple Park
132,415 Elmwood Ave.,,,['283'],,stop,"{'lat': 43.123348, 'lng': -77.627488}",4160586,"['4010578', '4015608', '4015618']",School of Medicine (MRB)
180,,,,['283'],,stop,"{'lat': 43.121599, 'lng': -77.626247}",4172362,"['4015606', '4015608', '4015618']",Crittenden Blvd at Whipple Circle
100,,,,['283'],,stop,"{'lat': 43.110547, 'lng': -77.671584}",4178614,"['4015608', '4015618']",Scottsville Shelter A
106,150 Norfolk St.,,,['283'],,stop,"{'lat': 43.11787, 'lng': -77.622429}",4178616,['4004558'],Lattimore Office Building
117,284 Kendrick Rd.,,,['283'],,stop,"{'lat': 43.119608, 'lng': -77.627082}",4178618,['4004562'],Lot 2/3
122,200 Kendrick Rd.,,,['283'],,stop,"{'lat': 43.1176109254698, 'lng': -77.6304517619019}",4178622,['4010578'],Southside/University Park
123,250 East River Rd.,,,['283'],,stop,"{'lat': 43.11335, 'lng': -77.634008}",4178624,['4010578'],Laser Lab
130,Mt. Hope Ave. @ McLean St.,,,['283'],,stop,"{'lat': 43.1365607533087, 'lng': -77.6145084920654}",4178630,['4010578'],Mt. Hope & McLean
165,650 Hylan Dr.,,,['283'],,stop,"{'lat': 43.0832448885442, 'lng': -77.6298505067513}",4178684,['4016788'],Wegmans
166,2325 Marketplace Dr.,,,['283'],,stop,"{'lat': 43.0780611984, 'lng': -77.6318460703}",4178686,['4016788'],Target
167,1200 Marketplace Dr.,,,['283'],,stop,"{'lat': 43.0800634164, 'lng': -77.6245075464}",4178688,['4016788'],Wal-Mart - Henrietta
182,,,,['283'],,stop,"{'lat': 43.13565, 'lng': -77.606525}",4186434,['4007476'],Highland Hospital Main Loop
184,,,,['283'],,stop,"{'lat': 43.121871, 'lng': -77.62373}",4196010,['4004562'],GCH Lower Inbound
187,,,,['283'],,stop,"{'lat': 43.1221408728937, 'lng': -77.620403364418}",4219778,"['4010578', '4016788']",Goler Out Bound
102,,,,['283'],,stop,"{'lat': 43.1177332365656, 'lng': -77.6304813880596}",4250440,"['4010578', '4016788']",Southside UPK OB
103,,,,['283'],,stop,"{'lat': 43.122414420895, 'lng': -77.6203281365347}",4250442,['4010578'],Goler Inbound
301,260 Kendrick Rd.,,,['283'],,stop,"{'lat': 43.118285, 'lng': -77.627919}",4250448,"['4004562', '4015606']",Lot 9
307,,,,['283'],,stop,"{'lat': 43.1178320877094, 'lng': -77.6223178996426}",4250452,['4004558'],Lattimore Inbound
